NXN	ENSG00000167693	219489_s_at
MTCH1	ENSG00000137409	221619_s_at
F2RL2	ENSG00000164220	206795_at
CYP21A2	ENSG00000231852	214622_at
ATG7	ENSG00000197548	218673_s_at
GMFG	ENSG00000130755	204220_at
THAP4	ENSG00000176946	220417_s_at
HPS5	ENSG00000110756	204544_at
PPDPF	ENSG00000125534	218010_x_at
IL1B	ENSG00000125538	39402_at
NDUFV2	ENSG00000178127	202941_at
CRY1	ENSG00000008405	209674_at
MBL1P	ENSG00000242600	215110_at
DTL	ENSG00000143476	218585_s_at
SLC25A3	ENSG00000075415	200030_s_at
ZNF253	ENSG00000256771	206900_x_at
ANKRD11	ENSG00000167522	219437_s_at
BTBD1	ENSG00000064726	217945_at
SMC1A	ENSG00000072501	217555_at
GNAT2	ENSG00000134183	210604_at
KIAA1107	ENSG00000069712	214098_at
PRPF38B	ENSG00000134186	218040_at
NR1H3	ENSG00000025434	203920_at
TUBG2	ENSG00000037042	203894_at
ZNF259P1	ENSG00000219565	217186_at
MYH7B	ENSG00000078814	215795_at
SLC25A22	ENSG00000177542	218725_at
MDK	ENSG00000110492	209035_at
CITED1	ENSG00000125931	207144_s_at
COPZ1	ENSG00000111481	217726_at
GEMIN7	ENSG00000142252	219085_s_at
MBTPS2	ENSG00000012174	206473_at
SMPD2	ENSG00000135587	205622_at
ITIH5	ENSG00000123243	219064_at
TMEM185B	ENSG00000226479	219253_at
DHX32	ENSG00000089876	218198_at
NKX2-5	ENSG00000183072	206578_at
MAB21L1	ENSG00000180660	206163_at
CDK3	ENSG00000250506	207188_at
PLIN1	ENSG00000166819	205913_at
SMYD5	ENSG00000135632	209516_at
RAB11FIP5	ENSG00000135631	210879_s_at
EBP	ENSG00000147155	213787_s_at
FFAR3	ENSG00000185897	221385_s_at
UGP2	ENSG00000169764	205480_s_at
FHL3	ENSG00000183386	218818_at
COL4A1	ENSG00000187498	211981_at
TAS2R4	ENSG00000127364	221392_at
KIF21B	ENSG00000116852	204411_at
ZNF430	ENSG00000118620	206829_x_at
EMILIN2	ENSG00000132205	221980_at
MEGF6	ENSG00000162591	213942_at
GPNMB	ENSG00000136235	201141_at
DLL3	ENSG00000090932	219537_x_at
PIGZ	ENSG00000119227	220041_at
RPS24	ENSG00000138326	200061_s_at
ARHGAP22	ENSG00000128805	206298_at
CP	ENSG00000047457	204846_at
MCM6	ENSG00000076003	201930_at
TNIP3	ENSG00000050730	220655_at
CACNB4	ENSG00000182389	207693_at
CAPN5	ENSG00000149260	205166_at
EGOT	ENSG00000235947	222314_x_at
CHMP4A	ENSG00000254505	218572_at
KCNN2	ENSG00000080709	220116_at
SLC2A10	ENSG00000197496	221024_s_at
COPZ2	ENSG00000005243	219561_at
PRKAR2B	ENSG00000005249	203680_at
PLEKHB1	ENSG00000021300	209504_s_at
HTR6	ENSG00000158748	206944_at
PRPS2	ENSG00000101911	203401_at
TLR8	ENSG00000101916	220832_at
PLAT	ENSG00000104368	201860_s_at
SV2A	ENSG00000159164	203069_at
NIPAL2	ENSG00000104361	220128_s_at
ZNF134	ENSG00000213762	206182_at
VPS26A	ENSG00000122958	201807_at
ZWINT	ENSG00000122952	204026_s_at
DDX46	ENSG00000145833	202462_s_at
ARHGAP12	ENSG00000165322	207606_s_at
LSAMP	ENSG00000185565	214460_at
FEM1C	ENSG00000145780	213341_at
AHNAK2	ENSG00000185567	212992_at
ADAMTSL3	ENSG00000156218	213974_at
GPR25	ENSG00000170128	221363_x_at
CACNA1H	ENSG00000196557	205845_at
PAAF1	ENSG00000175575	218957_s_at
DNA2	ENSG00000138346	213647_at
HOXC6	ENSG00000197757	206858_s_at
VWA1	ENSG00000179403	218731_s_at
CSNK1G3	ENSG00000151292	220768_s_at
IK	ENSG00000113141	200066_at
TBC1D10B	ENSG00000169221	220947_s_at
OLFML1	ENSG00000183801	217525_at
SLC30A1	ENSG00000170385	212907_at
TBX21	ENSG00000073861	220684_at
AGPAT4	ENSG00000026652	219693_at
FRK	ENSG00000111816	207178_s_at
EIF2B1	ENSG00000111361	201632_at
HIST1H3G	ENSG00000256018	208496_x_at
HOPX	ENSG00000171476	211597_s_at
IKZF3	ENSG00000161405	221092_at
KCNAB3	ENSG00000170049	221413_at
TNFSF13	ENSG00000161955	210314_x_at
KIF17	ENSG00000117245	222144_at
LPAR3	ENSG00000171517	220816_at
GPR18	ENSG00000125245	210279_at
NFU1	ENSG00000169599	218946_at
TMEM209	ENSG00000146842	222267_at
YKT6	ENSG00000106636	217785_s_at
GCK	ENSG00000106633	211167_s_at
APOBEC3A	ENSG00000128383	210873_x_at
DDX4	ENSG00000152670	221630_s_at
SLC22A18	ENSG00000110628	204981_at
GLA	ENSG00000102393	214430_at
MRPL24	ENSG00000143314	218270_at
MAFK	ENSG00000198517	206750_at
CNGA1	ENSG00000198515	206417_at
TTC13	ENSG00000143643	219481_at
NQO2	ENSG00000124588	203814_s_at
TRIM68	ENSG00000167333	219405_at
CASQ1	ENSG00000143318	219645_at
HIST1H4E	ENSG00000198518	206951_at
SRD5A3	ENSG00000128039	218800_at
SYNPO2L	ENSG00000166317	219804_at
APBB1	ENSG00000166313	202652_at
MAP2	ENSG00000078018	210015_s_at
CCNB1IP1	ENSG00000100814	217988_at
XPOT	ENSG00000184575	212160_at
PFAS	ENSG00000178921	213302_at
HYI	ENSG00000178922	221435_x_at
RND1	ENSG00000172602	210056_at
FBXO40	ENSG00000163833	220164_s_at
IRF2	ENSG00000168310	203275_at
PDE6C	ENSG00000095464	211093_at
CA14	ENSG00000118298	219464_at
PFKFB4	ENSG00000114268	206246_at
GRTP1	ENSG00000139835	206712_at
PQLC2	ENSG00000040487	220453_at
RNF126P1	ENSG00000261192	222349_x_at
PPM1G	ENSG00000115241	200913_at
ATAD2	ENSG00000156802	218782_s_at
ANAPC1	ENSG00000153107	218575_at
UBAC1	ENSG00000130560	202151_s_at
MED9	ENSG00000141026	218372_at
HIST1H1B	ENSG00000184357	214534_at
CAMP	ENSG00000164047	210244_at
CDC25A	ENSG00000164045	204696_s_at
SLFN12	ENSG00000172123	219885_at
METTL16	ENSG00000127804	220797_at
TRMT11	ENSG00000066651	218877_s_at
FBXW12	ENSG00000164049	215600_x_at
EGR3	ENSG00000179388	206115_at
BTBD18	ENSG00000233436	215349_at
ALS2CL	ENSG00000178038	222333_at
DNAJC1	ENSG00000136770	218409_s_at
ACO1	ENSG00000122729	207071_s_at
MARCH8	ENSG00000165406	221824_s_at
ARL2	ENSG00000213465	202564_x_at
CRYL1	ENSG00000165475	220753_s_at
TSG101	ENSG00000074319	201758_at
SNCB	ENSG00000074317	207853_s_at
GLTSCR1	ENSG00000063169	219445_at
NDFIP1	ENSG00000131507	217800_s_at
SEPT7	ENSG00000122545	213151_s_at
MTIF2	ENSG00000085760	203095_at
KLHL25	ENSG00000183655	210307_s_at
TBX4	ENSG00000121075	220634_at
HELLS	ENSG00000119969	220085_at
USP36	ENSG00000055483	220370_s_at
KIAA1324	ENSG00000116299	221874_at
RAC2	ENSG00000128340	213603_s_at
SYN1	ENSG00000008056	221914_at
MYEF2	ENSG00000104177	222153_at
PGPEP1	ENSG00000130517	219891_at
FAM106A	ENSG00000213077	220575_at
ZNF549	ENSG00000121406	215315_at
IBA57	ENSG00000181873	215490_at
PEX2	ENSG00000164751	210296_s_at
MFF	ENSG00000168958	219137_s_at
HHLA3	ENSG00000197568	220387_s_at
PIGN	ENSG00000197563	219048_at
MANEA	ENSG00000172469	219003_s_at
QPCTL	ENSG00000011478	220438_at
FRAT1	ENSG00000165879	219889_at
AIDA	ENSG00000186063	220199_s_at
MICALL2	ENSG00000164877	219332_at
PDCD6IP	ENSG00000170248	217746_s_at
LIN7A	ENSG00000111052	206440_at
USP47	ENSG00000170242	221518_s_at
PAIP2B	ENSG00000124374	221868_at
RBM22	ENSG00000086589	218134_s_at
CERS2	ENSG00000143418	222212_s_at
LIPC	ENSG00000166035	206606_at
VAV3	ENSG00000134215	218806_s_at
TMEM45A	ENSG00000181458	219410_at
NUTF2	ENSG00000102898	202397_at
ZNF222	ENSG00000159885	206175_x_at
ABCB4	ENSG00000005471	207819_s_at
NMB	ENSG00000197696	205204_at
HIST1H2BE	ENSG00000197697	208527_x_at
ABCD3	ENSG00000117528	202850_at
CA9	ENSG00000107159	205199_at
FLT4	ENSG00000037280	210316_at
NFKBIL1	ENSG00000204498	209973_at
PSMD9	ENSG00000110801	209334_s_at
ELMO3	ENSG00000102890	219411_at
LHB	ENSG00000104826	214471_x_at
NFKBIB	ENSG00000104825	214448_x_at
GRAMD1B	ENSG00000023171	212906_at
GCNT4	ENSG00000176928	220831_at
ME3	ENSG00000151376	204663_at
TMEM106B	ENSG00000106460	218930_s_at
TNFRSF8	ENSG00000120949	206729_at
SOAT1	ENSG00000057252	221561_at
SAE1	ENSG00000142230	217946_s_at
MCPH1	ENSG00000147316	219592_at
KIFC3	ENSG00000140859	209661_at
TSPAN5	ENSG00000168785	209890_at
PPIP5K1	ENSG00000168781	204578_at
CDR2L	ENSG00000109089	213230_at
IFT20	ENSG00000109083	210312_s_at
TIMELESS	ENSG00000111602	215455_at
CTC1	ENSG00000178971	219435_at
HDAC4	ENSG00000068024	204225_at
KIAA0430	ENSG00000166783	202386_s_at
PCDHGA11	ENSG00000253873	211877_s_at
DYNLL1	ENSG00000088986	200703_at
CECR5	ENSG00000069998	218592_s_at
MNDA	ENSG00000163563	204959_at
GABARAPL2	ENSG00000034713	209046_s_at
NPRL2	ENSG00000114388	210373_at
TMEM5	ENSG00000118600	204807_at
CHST12	ENSG00000136213	218927_s_at
ASCC1	ENSG00000138303	219336_s_at
POLE3	ENSG00000148229	208828_at
TBC1D8B	ENSG00000133138	219771_at
GMIP	ENSG00000089639	218913_s_at
CTDSP1	ENSG00000144579	217844_at
ZNF669	ENSG00000188295	220215_at
SEPP1	ENSG00000250722	201427_s_at
CYP4F3	ENSG00000186529	206515_at
TRIM36	ENSG00000152503	219736_at
TLR1	ENSG00000174125	210176_at
FAM86B1	ENSG00000186523	65585_at
WWC3	ENSG00000047644	219520_s_at
ABCB6	ENSG00000115657	203191_at
NFKB1	ENSG00000109320	209239_at
UXS1	ENSG00000115652	219675_s_at
ACBD4	ENSG00000181513	219413_at
CES3	ENSG00000172828	220335_x_at
OSR2	ENSG00000164920	213568_at
AKAP5	ENSG00000179841	207800_at
GCNT1	ENSG00000187210	205505_at
BAALC	ENSG00000164929	218899_s_at
BEND5	ENSG00000162373	219670_at
SELRC1	ENSG00000162377	219420_s_at
ELAVL4	ENSG00000162374	206051_at
FAM208B	ENSG00000108021	218331_s_at
MYO15A	ENSG00000091536	220288_at
PPP1CC	ENSG00000186298	200726_at
DHX8	ENSG00000067596	203334_at
RUFY2	ENSG00000204130	219957_at
CYP20A1	ENSG00000119004	219565_at
PHACTR4	ENSG00000204138	219235_s_at
TCAP	ENSG00000173991	205766_at
CCS	ENSG00000173992	203522_at
SLC35C2	ENSG00000080189	219447_s_at
CDKN2B	ENSG00000147883	207530_s_at
DDAH1	ENSG00000153904	209094_at
CDK5RAP1	ENSG00000101391	218315_s_at
GBE1	ENSG00000114480	203282_at
CHRDL1	ENSG00000101938	209763_at
DONSON	ENSG00000159147	221677_s_at
SH2D4A	ENSG00000104611	219749_at
PLVAP	ENSG00000130300	221529_s_at
BST2	ENSG00000130303	201641_at
ACADS	ENSG00000122971	202366_at
IFT81	ENSG00000122970	219372_at
GOLPH3	ENSG00000113384	217803_at
YIPF5	ENSG00000145817	221423_s_at
OSM	ENSG00000099985	214637_at
GSTT2	ENSG00000099984	205439_at
CERS4	ENSG00000090661	218922_s_at
CABYR	ENSG00000154040	219928_s_at
FMO4	ENSG00000076258	206263_at
MTHFS	ENSG00000136371	203433_at
COL4A4	ENSG00000081052	214602_at
SHH	ENSG00000164690	207586_at
ENY2	ENSG00000120533	218482_at
C1D	ENSG00000197223	200056_s_at
HIST1H2BC	ENSG00000180596	214455_at
SDHA	ENSG00000073578	201093_x_at
COL4A3BP	ENSG00000113163	219625_s_at
HMGCR	ENSG00000113161	202539_s_at
PFKFB1	ENSG00000158571	207537_at
RPL6	ENSG00000089009	200034_s_at
SNX5	ENSG00000089006	217792_at
PSMB5	ENSG00000100804	208799_at
ACADVL	ENSG00000072778	200710_at
DDX1	ENSG00000079785	201241_at
CDK18	ENSG00000117266	214797_s_at
FGF8	ENSG00000107831	208449_s_at
CDC123	ENSG00000151465	201725_at
NPM3	ENSG00000107833	205129_at
KDELC1	ENSG00000134901	219479_at
PRKAG2	ENSG00000106617	215231_at
NOTCH2NL	ENSG00000213240	214722_at
EPN1	ENSG00000063245	221141_x_at
STAG3L4	ENSG00000106610	218994_s_at
OXCT2	ENSG00000198754	220256_s_at
RPL10A	ENSG00000198755	200036_s_at
RHOBTB2	ENSG00000008853	209441_at
CDC42BPB	ENSG00000198752	217849_s_at
PLXNB3	ENSG00000198753	205957_at
TIMM23	ENSG00000138297	218118_s_at
RAMP2	ENSG00000131477	205779_at
AOC3	ENSG00000131471	204894_s_at
NEK7	ENSG00000151414	212530_at
ZNF613	ENSG00000176024	219851_at
CORO2B	ENSG00000103647	209789_at
NUBPL	ENSG00000151413	220176_at
ABCA7	ENSG00000064687	219577_s_at
PRKCH	ENSG00000027075	218764_at
NLRP2	ENSG00000022556	221690_s_at
JOSD1	ENSG00000100221	201751_at
ARHGEF1	ENSG00000076928	203055_s_at
XAB2	ENSG00000076924	218110_at
RFTN1	ENSG00000131378	212646_at
SOX5	ENSG00000134532	207336_at
ILF2	ENSG00000143621	200052_s_at
THAP9	ENSG00000168152	220360_at
INTS3	ENSG00000143624	211132_at
TSPYL1	ENSG00000189241	221493_at
SPINT2	ENSG00000167642	210715_s_at
RNF187	ENSG00000168159	212155_at
OR2C1	ENSG00000168158	221460_at
CDK5R2	ENSG00000171450	205852_at
TP53TG5	ENSG00000124251	207482_at
CNPY4	ENSG00000166997	217700_at
USP13	ENSG00000058056	205356_at
KCNJ2	ENSG00000123700	206765_at
SIRT2	ENSG00000068903	220605_s_at
SH3BP5	ENSG00000131370	201810_s_at
LZTFL1	ENSG00000163818	218437_s_at
CDCP1	ENSG00000163814	218451_at
WDR43	ENSG00000163811	214662_at
MEGF8	ENSG00000105429	214778_at
NCOA4	ENSG00000138293	210774_s_at
PTPRS	ENSG00000105426	210823_s_at
TMEM184B	ENSG00000198792	202027_at
LRRC31	ENSG00000114248	220622_at
BEST2	ENSG00000039987	207432_at
POLR1C	ENSG00000171453	209317_at
TRIM8	ENSG00000171206	221012_s_at
GRB2	ENSG00000177885	215075_s_at
VPS8	ENSG00000156931	209553_at
BABAM1	ENSG00000105393	221711_s_at
NUDT15	ENSG00000136159	219347_at
RGS20	ENSG00000147509	210138_at
TYK2	ENSG00000105397	205546_s_at
SPIN2A	ENSG00000147059	207841_at
MFSD9	ENSG00000135953	213393_at
TSGA10	ENSG00000135951	220623_s_at
TMEM127	ENSG00000135956	219460_s_at
MTL5	ENSG00000132749	219786_at
CCDC15	ENSG00000149548	220466_at
SLC18A2	ENSG00000165646	205857_at
IGHMBP2	ENSG00000132740	31861_at
POLE	ENSG00000177084	216026_s_at
FNDC3B	ENSG00000075420	218618_s_at
WDR73	ENSG00000177082	213031_s_at
RPS23	ENSG00000186468	200926_at
TPTE	ENSG00000166157	220205_at
ATP5H	ENSG00000167863	210149_s_at
ZNF177	ENSG00000188629	207417_s_at
TM2D3	ENSG00000184277	221702_s_at
CHRNA9	ENSG00000174343	221107_at
MICA	ENSG00000204520	205904_at
PTPRCAP	ENSG00000213402	204960_at
ANXA2P1	ENSG00000213406	210876_at
HAUS3	ENSG00000214367	210054_at
SCARF1	ENSG00000074660	206995_x_at
WNT11	ENSG00000085741	206737_at
SNRPA	ENSG00000077312	201770_at
CNNM1	ENSG00000119946	220166_at
SNRNP40	ENSG00000060688	215905_s_at
SENP7	ENSG00000138468	220735_s_at
PRPSAP2	ENSG00000141127	203537_at
ZBTB10	ENSG00000205189	219312_s_at
MYOZ3	ENSG00000164591	213955_at
ENDOU	ENSG00000111405	206605_at
OPN1SW	ENSG00000128617	208036_at
UBA3	ENSG00000144744	209115_at
LANCL2	ENSG00000132434	218219_s_at
POLD1	ENSG00000062822	203422_at
LRIG1	ENSG00000144749	211596_s_at
PLXNA3	ENSG00000130827	203623_at
CXCL10	ENSG00000169245	204533_at
WDR6	ENSG00000178252	217734_s_at
SLC2A4	ENSG00000181856	206603_at
TGFBI	ENSG00000120708	201506_at
TTLL1	ENSG00000100271	205652_s_at
RASL10A	ENSG00000100276	206850_at
ADRA2A	ENSG00000150594	209869_at
PPIC	ENSG00000168938	204518_s_at
IFI27	ENSG00000165949	202411_at
KRT5	ENSG00000186081	201820_at
ZNF282	ENSG00000170265	212892_at
ZNF212	ENSG00000170260	203985_at
PRPF8	ENSG00000174231	200000_s_at
ADCY6	ENSG00000174233	209195_s_at
SFTPA2	ENSG00000185303	218835_at
MCHR1	ENSG00000128285	221354_s_at
SEMA6C	ENSG00000143434	208100_x_at
CDC42EP1	ENSG00000128283	204693_at
HMGCS1	ENSG00000112972	205822_s_at
CEP97	ENSG00000182504	219886_at
DAP	ENSG00000112977	201095_at
SLAMF1	ENSG00000117090	206181_at
CD48	ENSG00000117091	204118_at
SLC12A7	ENSG00000113504	218066_at
NCS1	ENSG00000107130	218266_s_at
KAT2A	ENSG00000108773	202182_at
SNAI1	ENSG00000124216	219480_at
DHX58	ENSG00000108771	219364_at
NUDT1	ENSG00000106268	204766_s_at
NYNRIN	ENSG00000205978	220911_s_at
ARHGAP5	ENSG00000100852	217936_at
TULP2	ENSG00000104804	206733_at
LIFR	ENSG00000113594	205876_at
PPWD1	ENSG00000113593	213483_at
PNMA1	ENSG00000176903	218224_at
WNT4	ENSG00000162552	208606_s_at
CD68	ENSG00000129226	203507_at
RPL37	ENSG00000145592	200092_s_at
ZNHIT1	ENSG00000106400	201541_s_at
PRCC	ENSG00000143294	208938_at
ZNF770	ENSG00000198146	220608_s_at
RFC5	ENSG00000111445	203210_s_at
AMIGO2	ENSG00000139211	222108_at
HEY2	ENSG00000135547	219743_at
FAR2	ENSG00000064763	220615_s_at
PTPN9	ENSG00000169410	202958_at
PPP2CA	ENSG00000113575	208652_at
SCNM1	ENSG00000163156	218672_at
SAMD14	ENSG00000167100	213866_at
NAT9	ENSG00000109065	204382_at
TMEM104	ENSG00000109066	220097_s_at
USP5	ENSG00000111667	206031_s_at
SLC9A3R1	ENSG00000109062	201349_at
MYH3	ENSG00000109063	205940_at
EDC4	ENSG00000038358	202496_at
DMBT1	ENSG00000187908	208250_s_at
NID2	ENSG00000087303	204114_at
AMOTL2	ENSG00000114019	203002_at
LIMS2	ENSG00000072163	220765_s_at
BCKDK	ENSG00000103507	202030_at
PCDHGA9	ENSG00000261934	211873_s_at
YY1AP1	ENSG00000163374	217836_s_at
WNT2	ENSG00000105989	205648_at
RNF32	ENSG00000105982	220991_s_at
PDC	ENSG00000116703	211496_s_at
GLRX2	ENSG00000023572	219933_at
XAF1	ENSG00000132530	206133_at
FAM193B	ENSG00000146067	218920_at
HIGD2A	ENSG00000146066	209329_x_at
RFXAP	ENSG00000133111	208492_at
PDCD5	ENSG00000105185	219275_at
KL	ENSG00000133116	205978_at
MRPL52	ENSG00000172590	221997_s_at
SMPDL3A	ENSG00000172594	213624_at
NDST2	ENSG00000166507	203916_at
DNMT3B	ENSG00000088305	220668_s_at
TPBG	ENSG00000146242	203476_at
DENND5A	ENSG00000184014	212561_at
SRGAP2	ENSG00000163486	213329_at
RNF25	ENSG00000163481	218861_at
FIG4	ENSG00000112367	203656_at
ZBTB24	ENSG00000112365	205340_at
C2CD2L	ENSG00000172375	204758_s_at
SPI1	ENSG00000066336	205312_at
NUP88	ENSG00000108559	214192_at
RAI1	ENSG00000108557	219830_at
SPCS1	ENSG00000114902	217927_at
NEK4	ENSG00000114904	204634_at
ALOX12B	ENSG00000179477	207381_at
CSF3R	ENSG00000119535	203591_s_at
DENND4C	ENSG00000137145	205684_s_at
ASF1B	ENSG00000105011	218115_at
KCTD3	ENSG00000136636	217894_at
